BL record ID,Type of resource,Content type,Material type,Name,Dates associated with name,Type of name,All names,Title,Country of publication,Place of publication,Publisher,Date,Page Count,BL shelfmark,Citations
2031188,Monograph,Language material ; Text,Volume,"Kühnel, Ernst",1882-1964,person,"Kühnel, Ernst, 1882-1964 [person]","Leonardo da Vinci, etc [With reproductions.]",,Bielefeld ; Leipzig,,1930,31,7867.b.47,37
2039535,Monograph,Language material ; Text,Volume,"Kwiatkowski, Kazimierz",,person,"Kwiatkowski, Kazimierz [person]",La Dame à l'hermine' de Léonardo da Vinci. Étude technologique.  [With reproductions.],,Wrocław,,1955,63,7870.n.40,25
2070249,Monograph,Language material ; Text,Volume,"Lange, Julius Henrik",,person,"Jacob-Anders, Ida [person] ; Lange, Julius Henrik [person]",Studien über Leonardo da Vinci ... Aus dem Dänischen übersetzt von Ida Jacob-Anders. Mit 14 Abbildungen,,,,1911,32,7803.tt.10. ,44
2111785,Monograph,Language material ; Text,Volume,"Leech, Carolyn Apperson",,person,"Leech, Carolyn Apperson [person]","When Mona Lisa Came Home, Florence, December 1913 [With plates.]",United States of America,Chicago,Alderbrink Press,1914,19,7861.r.51,33
2131807,Monograph,Language material ; Text,Volume,"Lenkey, Susan V.",,person,"Lenkey, Susan V. [person] ; Cione, Andrea, called Del Verrocchio [person]","An unknown Leonardo self-portrait. Revision of the authorship of the Alexander the Great relief in the National Gallery of Art, Washington, D.C",,Stanford,,1963,446,X.410/2311,28
2135098,Monograph,Language material ; Text,Volume,,,,"Suchodolski, Bogdan [person]",Leonardiana. Nel 450 anniversario della morte. ,,Wrocław,"Zakład Narodowy im. Ossolińskich, Wydawnictwo Polskiej Akademii Nauk",1971,667,Ac.9233.dk/38. [fasc.47.],40
2135113,Monograph,Language material ; Text,Volume,,,,"Richter, Jean Paul [person] ; Bell, R. C., Mrs [person]","The Literary Works of Leonardo da Vinci, compiled and edited from the original manuscripts by Jean Paul Richter.  [The English translation mainly by Mrs. R. C. Bell. With plates.] Ital. & Eng",England,Leipzig ; London,Sampson Low,1883,77,2264.dd.4,12
2135114,Monograph,Language material ; Text,Volume,,,,"Richter, Irma Anne [person] ; Richter, Jean Paul [person]","The Literary Works of Leonardo da Vinci, compiled and edited from the original manuscripts by Jean Paul Richter.  [The English translation mainly by Mrs. R. C. Bell. With plates.] Ital. & Eng",England,London,Oxford University Press,1939,5534,L.R.280.b.6,12
2135115,Monograph,Language material ; Text,Volume,,,,"Richter, Jean Paul [person]",The literary works of Leonardo da Vinci; compiled and edited from the original manuscripts by Jean Paul Richter. 3rd ed,England,London,Phaidon,1970,234,X.900/4693,6
2135116,Monograph,Language material ; Text,Volume,,,,,A Letter to Pope Leo X on the Architecture of Ancient Rome [With an introduction.],,,,,78,W.P.A.31/54,5
2135117,Monograph,Language material ; Text,Volume,,,,,"Tabula anatomica Leonardi da Vinci ... e bibliotheca ... Magnae Britanniae Hannoveraeque Regis deprompta, venerem obversam e legibus naturae hominibus solam convenire, ostendens",Germany,Lunaeburgi,,1830,78,781.k.26,31
2135118,Monograph,Language material ; Text,Volume,,,,"Beltrami, Luca [person]","Il Codice di Leonardo da Vinci nella biblioteca del Principe Trivulzio in Milano. Trascritto ed annotato da Luca Beltrami. Riprodotto in 94 tavole eliografiche, etc",,Milano,,1891,310,RF.2008.b.56,29
2135119,Monograph,Language material ; Text,Volume,,,,"Leonardo, da Vinci, 1452-1519 [person]","Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc",,Paris,,1901,234,,36
2135120,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Croquis et dessins de botanique: arbres, feuilles, fleurs, fruits, herbes. ff. 17",,,,,89,RF.2008.b.71,35
2135121,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Notes et dessins sur le thorax et l'abdomen. Respiration, diaphragme, viscères, cage thoracique. ff. 11",,,,,89,RF.2008.b.67,40
2135122,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Croquis et dessins de devises et rébus. ff. 7",,,,,89,RF.2008.b.69,44
2135123,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Croquis et dessins de nerfs et vaisseaux. ff. 13",,,,,89,RF.2008.b.57,42
2135124,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Croquis et dessins de têtes grotesques. ff. 26",,,,,89,RF.2008.b.68,7
2135125,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Fragments. Études anatomiques. Recueil B  . 3 vol",,,,,89,RF.2008.b.59,40
2135126,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Notes et croquis sur l'anatomie du cheval. 2 pt. ff. 60",,,,,89,RF.2008.b.62,45
2135127,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Notes et dessins sur la génération et le mécanisme des fonctions intimes. ff. 13",,,,,89,RF.2008.b.63,36
2135128,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Notes et dessins sur le cœur et sa constitution anatomique. ff. 20",,,,,89,RF.2008.b.64,15
2135129,Monographic component part,Language material ; Text,Volume,,,,,"Léonard de Vinci ... Feuillets inédits, reproduits d'après les originaux conservés à la bibliothèque du Château de Windsor, etc. Notes et dessins sur le corps humain, ses mesures et proportions. ff. 12",,,,,89,RF.2008.b.70,16
2135130,Monograph,Language material ; Text,Volume,,,,,"Problèmes de géométrie et d'hydraulique ... Manuscrits inédits, reproduits d'après les originaux conservés à la 'Forster Library, South Kensington Museum, London,' etc",,Paris,,1901,55,RF.2008.a.26,5
2135131,Monograph,Language material ; Text,Volume,,,,,"Sciences physico-mathématiques ... Manuscrits inédits, reproduits d'après les originaux conservés au 'British Museum, London,' etc",,Paris,,1901,33,RF.2008.b.60,30
2135132,Monograph,Language material ; Text,Volume,,,,"Calvi, Gerolamo [person]","Il Codice di Leonardo da Vinci della biblioteca di Lord Leicester in Holkham Hall. Pubblicato ... da Gerolamo Calir [A facsimile, with transcription, introduction, and notes.]",,Milano,,1909,456,,19
2135133,Monograph,Language material ; Text,Volume,,,,"Giacomelli, Raffaele [person]","Gli Scritti di Leonardo da Vinci sul volo, etc [Edited with a commentary by R. Giacomelli. With illustrations.]",,Roma,,1936,366,8771.bb.16,34
2135134,Monograph,Language material ; Text,Volume,,,,"Toni, Nando de [person]",Il Codice Trivulziano. Trascritto per cura di Nando de Toni [With facsimiles.],,Milano,,1939,234,W.P.4964/16a,9
2135135,Monograph,Language material ; Text,Volume,,,,"Marinoni, Augusto [person]","Gli Appunti grammaticali e lessicali di Leonardo da Vinci [Edited, with an introductory volume entitled 'L'Educazione letteraria di Leonardo,' by Augusto Marinoni. With facsimiles.]",,Milano,,1944,124,12944.i.21,41
2135136,Monograph,Language material ; Text,Volume,,,,"Uccelli, Arturo [person] ; Zammattio, Carlo [person]",I Libri del volo ... Nella ricostruzione critica di Arturo Uccelli. Con la collaborazione di Carlo Zammattio. Con una introduzione analitica [With illustrations.],,Milano,,1952,546,L.R.401.e.4,27
2135137,Monograph,Language material ; Text,Volume,,,,"Marinoni, Augusto [person]","I Rebus di Leonardo da Vinci raccolti e interpretati [by Augusto Marinoni], etc [With facsimiles. Preceded by 'Il Mito di Leonardo' and 'Una Virtù spirituale,' by A. Marinoni.]",,Firenze,,1954,239,07813.t.4,37
2135138,Monograph,Language material ; Text,Volume,,,,"Pedretti, Carlo, of Bologna [person]","Leonardo da Vinci. Fragments at Windsor Castle from the Codex Atlanticus. Edited by C. Pedretti [Reproductions, with an introductory text and catalogue.]",England,London,Phaidon Press,1957,79,L.R.402.f.9,25
2135139,Monograph,Language material ; Text,Volume,,,,,"Notes on painting, from the second of two manuscripts in the Biblioteca Nacional, Madrid",,,,,67,X.421/2781,3
2135140,Monograph,Language material ; Text,Volume,,,,"Marinoni, Augusto [person] ; Reti, Ladislao [person]",The Madrid codices. ,United States of America,New York,McGraw-Hill,1974,56,X.981/9858,12
2135141,Monograph,Language material ; Text,Volume,,,,"Ravaisson-Mollien, Charles [person]","Les Manuscrits de Léonard de Vinci ... Fac-similés ... avec transcription littérale, traduction française, préface et table méthodique par M. Charles Revaisson-Mollien, etc",,Paris,,1881,65,RF.2008.b.52,25
